netCalorieGoal,remainingKilocalories,totalSteps,stressPercentage,maxAvgHeartRate,bodyBatteryAtWakeTime,lastSyncTimestampGMT,bodyBatteryDrainedValue,bodyBatteryVersion,averageSpo2,stressQualifier,netRemainingKilocalories,latestSpo2ReadingTimeLocal,totalStressDuration,restingCaloriesFromActivity,rule_typeId,vigorousIntensityMinutes,mediumStressPercentage,minAvgHeartRate,wellnessDistanceMeters,activityStressPercentage,source,durationInMilliseconds,uncategorizedStressDuration,endOfDayBodyBatteryDynamicFeedbackEvent_feedbackLongType,endOfDayBodyBatteryDynamicFeedbackEvent_bodyBatteryLevel,userDailySummaryId,bodyBatteryLowestValue,lastSevenDaysAvgRestingHeartRate,mediumStressDuration,measurableAwakeDuration,lowestSpo2,bodyBatteryDuringSleep,wellnessEndTimeGmt,privacyProtected,restStressDuration,calendarDate,totalDistanceMeters,bodyBatteryDynamicFeedbackEvent_bodyBatteryLevel,wellnessStartTimeLocal,lowStressPercentage,avgWakingRespirationValue,sedentarySeconds,moderateIntensityMinutes,userProfileId,includesCalorieConsumedData,includesWellnessData,bodyBatteryDynamicFeedbackEvent_eventTimestampGmt,floorsDescendedInMeters,highlyActiveSeconds,maxStressLevel,wellnessDescription,wellnessStartTimeGmt,activityStressDuration,lowStressDuration,highStressDuration,latestSpo2,wellnessKilocalories,rule_typeKey,restingHeartRate,endOfDayBodyBatteryDynamicFeedbackEvent_eventTimestampGmt,bodyBatteryMostRecentValue,consumedKilocalories,bodyBatteryDynamicFeedbackEvent_feedbackLongType,activeKilocalories,activeSeconds,respirationAlgorithmVersion,restStressPercentage,includesActivityData,uuid,bodyBatteryChargedValue,sleepingSeconds,highStressPercentage,latestSpo2ReadingTimeGmt,measurableAsleepDuration,lowestRespirationValue,intensityMinutesGoal,floorsAscended,burnedKilocalories,abnormalHeartRateAlertsCount,bodyBatteryActivityEventList,wellnessActiveKilocalories,stressDuration,userFloorsAscendedGoal,maxHeartRate,averageStressLevel,bmrKilocalories,bodyBatteryDynamicFeedbackEvent_feedbackShortType,latestRespirationTimeGMT,bodyBatteryHighestValue,latestRespirationValue,totalKilocalories,floorsDescended,minHeartRate,date,floorsAscendedInMeters,highestRespirationValue,dailyStepGoal,endOfDayBodyBatteryDynamicFeedbackEvent_feedbackShortType,uncategorizedStressPercentage,wellnessEndTimeLocal,averageMonitoringEnvironmentAltitude
1500,2582.0,16717,39.81,163,91,,88,3.0,96.0,STRESSFUL,2582.0,2026-06-28T00:00:00.0,82440,112.0,1,77,18.27,40,16240,13.83,GARMIN,86400000,13260,SLEEP_TIME_PASSED_STRESSFUL_AND_INTENSIVE_EXERCISE_AND_BB_LOW,VERY_LOW,96589030,5,47,15060,48960,85,79,2026-06-27T23:00:00.0,False,24960,2026-06-27,16240,VERY_LOW,2026-06-27T00:00:00.0,15.5,16.0,57033,6,96589030,False,True,2026-06-27T21:59:08,149.647,4784,93,,2026-06-26T23:00:00.0,11400,12780,4980,94,3325.0,public,41,2026-06-27T22:10:39,5,,SLEEP_PREPARATION_STRESSFUL_AND_INTENSIVE_EXERCISE_AND_BB_LOW,1082.0,2362,200,30.28,True,50a5a3376d424cc68ad077808c48aed2,79,22221,6.04,2026-06-27T23:00:00.0,20220,7.0,180,79.61614,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-06-26T22:45:21"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 23100000, ""bodyBatteryImpact"": 79, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-27T05:15:52""}, {""eventType"": ""ACTIVITY"", ""eventStartTimeGmt"": ""2026-06-27T07:21:12"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 4620000, ""bodyBatteryImpact"": -23, ""feedbackType"": ""EXERCISE_TRAINING_EFFECT_4_GOOD_TIMING"", ""shortFeedback"": ""HIGHLY_IMPROVING_LACTATE_THRESHOLD"", ""deviceId"": 3495376439, ""activityName"": ""Cheshire West and Chester Running"", ""activityType"": ""running"", ""activityId"": 23393655949, ""eventUpdateTimeGmt"": ""2026-06-27T08:39:05""}]",1082.0,32820,10,165,36,2243.0,SLEEP_PREPARATION_STRESSFUL_AND_INTENSIVE_EXERCISE,2026-06-27T23:00:00.0,91,18.0,3325.0,49.09678,40,2026-06-27,242.67,38.0,10000,SLEEP_TIME_PASSED_STRESSFUL_AND_INTENSIVE_EXERCISE,16.08,2026-06-28T00:00:00.0,59.0
1500,2346.0,22158,23.05,115,71,,57,3.0,97.0,BALANCED,2346.0,2026-06-29T00:00:00.0,82500,365.0,1,0,10.18,44,17203,25.45,GARMIN,86400000,8640,SLEEP_TIME_PASSED_BALANCED_AND_EXERCISE,HIGH,96589030,5,46,8400,52260,90,66,2026-06-28T23:00:00.0,False,33840,2026-06-28,17203,HIGH,2026-06-28T00:00:00.0,7.71,15.0,41768,86,96589030,False,True,2026-06-28T22:23:44,315.082,285,93,,2026-06-27T23:00:00.0,21000,6360,4260,91,3089.0,public,46,2026-06-28T22:30:15,27,,SLEEP_PREPARATION_BALANCED_AND_EXERCISE,846.0,17045,200,41.02,True,eaee3461348b469291a533780508ccc5,79,27302,5.16,2026-06-28T23:00:00.0,21600,7.0,180,120.69587,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-06-27T23:20:05"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 24000000, ""bodyBatteryImpact"": 66, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-28T06:00:07""}, {""eventType"": ""ACTIVITY"", ""eventStartTimeGmt"": ""2026-06-28T07:39:53"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 14040000, ""bodyBatteryImpact"": -15, ""feedbackType"": ""EXERCISE_TRAINING_EFFECT_BELOW_2"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": ""Cheshire West and Chester Golf"", ""activityType"": ""golf"", ""activityId"": 23406511469, ""eventUpdateTimeGmt"": ""2026-06-28T11:33:58""}, {""eventType"": ""RECOVERY"", ""eventStartTimeGmt"": ""2026-06-28T20:39:18"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 1080000, ""bodyBatteryImpact"": 2, ""feedbackType"": ""RECOVERY_EVENING"", ""shortFeedback"": ""RESTFUL_PERIOD"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-28T20:59:10""}]",846.0,19020,10,117,30,2243.0,SLEEP_PREPARATION_BALANCED_AND_EXERCISE,2026-06-28T23:00:00.0,72,13.0,3089.0,103.37336,43,2026-06-28,367.881,23.0,10000,SLEEP_TIME_PASSED_BALANCED_AND_EXERCISE,10.47,2026-06-29T00:00:00.0,28.0
1500,1528.0,3147,29.08,90,97,,69,3.0,96.0,BALANCED,1528.0,2026-06-30T00:00:00.0,82740,,1,0,4.64,41,2540,8.99,GARMIN,86400000,5160,SLEEP_TIME_PASSED_RECOVERING_AND_INACTIVE,HIGH,96589030,28,45,3840,55320,87,77,2026-06-29T23:00:00.0,False,46080,2026-06-29,2540,HIGH,2026-06-29T00:00:00.0,23.28,14.0,60990,0,96589030,False,True,2026-06-29T19:05:00,22.793,177,93,,2026-06-28T23:00:00.0,7440,19260,960,89,2276.0,public,44,2026-06-29T22:30:10,29,,SLEEP_PREPARATION_RECOVERING_AND_INACTIVE,28.0,1023,200,55.69,False,e6f023a8d35d403e9c3d61042ed73015,70,24210,1.16,2026-06-29T23:00:00.0,22260,7.0,180,17.69587,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-06-28T22:04:58"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 27480000, ""bodyBatteryImpact"": 77, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-29T05:43:31""}, {""eventType"": ""RECOVERY"", ""eventStartTimeGmt"": ""2026-06-29T10:07:11"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 1980000, ""bodyBatteryImpact"": -2, ""feedbackType"": ""RECOVERY_BODY_BATTERY_NOT_INCREASE"", ""shortFeedback"": ""RESTFUL_PERIOD"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-29T10:45:00""}]",28.0,24060,10,95,23,2248.0,SLEEP_PREPARATION_RECOVERING_AND_INACTIVE,2026-06-29T23:00:00.0,98,16.0,2276.0,7.47802,40,2026-06-29,53.937,22.0,10000,SLEEP_TIME_PASSED_RECOVERING_AND_INACTIVE,6.24,2026-06-30T00:00:00.0,60.0
1500,1547.0,4042,18.17,96,89,,57,3.0,95.0,CALM,1547.0,2026-07-01T00:00:00.0,81900,,1,0,2.86,42,3274,8.64,GARMIN,86400000,5280,SLEEP_TIME_PASSED_RECOVERING_AND_INACTIVE,HIGH,96589030,28,45,2340,55560,85,61,2026-06-30T23:00:00.0,False,54660,2026-06-30,3274,HIGH,2026-06-30T00:00:00.0,14.29,13.0,51847,0,96589030,False,True,2026-06-30T19:57:40,27.892,361,91,,2026-06-29T23:00:00.0,7080,11700,840,96,2302.0,public,44,2026-06-30T22:30:13,66,,SLEEP_PREPARATION_RECOVERING_AND_INACTIVE,47.0,1388,200,66.74,False,6983ce04dacc44e9b45e63bde1f4ec53,94,32804,1.03,2026-06-30T23:00:00.0,21060,7.0,180,13.0,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-06-29T23:26:31"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 22920000, ""bodyBatteryImpact"": 61, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-30T06:23:16""}, {""eventType"": ""RECOVERY"", ""eventStartTimeGmt"": ""2026-06-30T07:41:56"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 3660000, ""bodyBatteryImpact"": -3, ""feedbackType"": ""RECOVERY_LONG_BODY_BATTERY_NOT_INCREASE"", ""shortFeedback"": ""LONG_RESTFUL_PERIOD"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-06-30T08:47:17""}]",47.0,14880,10,97,20,2255.0,SLEEP_PREPARATION_RECOVERING_AND_INACTIVE,2026-06-30T23:00:00.0,89,13.0,2302.0,9.15092,42,2026-06-30,39.624,21.0,10000,SLEEP_TIME_PASSED_RECOVERING_AND_INACTIVE,6.45,2026-07-01T00:00:00.0,83.0
1500,2463.0,14998,37.72,171,100,,84,3.0,96.0,BALANCED,2463.0,2026-07-02T00:00:00.0,83520,100.0,1,64,7.11,40,15093,9.12,GARMIN,86400000,11760,SLEEP_TIME_PASSED_RECOVERING_AND_INTENSIVE_EXERCISE,MODERATE,96589030,16,44,5940,54600,88,65,2026-07-01T23:00:00.0,False,32640,2026-07-01,15093,MODERATE,2026-07-01T00:00:00.0,28.88,15.0,57682,3,96589030,False,True,2026-07-01T20:09:10,87.552,4226,93,,2026-06-30T23:00:00.0,7620,24120,1440,96,3207.0,public,41,2026-07-01T21:21:15,18,,SLEEP_PREPARATION_RECOVERING_AND_INTENSIVE_EXERCISE,963.0,2104,200,39.08,True,3ff1fea147bd4978a75ca9ba44b75de0,35,22388,1.72,2026-07-01T23:00:00.0,17160,6.0,180,42.26542,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-06-30T20:15:16"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 29100000, ""bodyBatteryImpact"": 65, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-01T04:21:09""}, {""eventType"": ""NAP"", ""eventStartTimeGmt"": ""2026-07-01T05:22:09"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 3120000, ""bodyBatteryImpact"": 0, ""feedbackType"": ""NAP_RECOVERING_BODY_BATTERY_MAINTAIN"", ""shortFeedback"": ""RESTFUL_NAP"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-01T06:14:22""}, {""eventType"": ""ACTIVITY"", ""eventStartTimeGmt"": ""2026-07-01T19:02:04"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 3900000, ""bodyBatteryImpact"": -14, ""feedbackType"": ""EXERCISE_TRAINING_EFFECT_4_LATE"", ""shortFeedback"": ""HIGHLY_IMPROVING_LACTATE_THRESHOLD"", ""deviceId"": 3495376439, ""activityName"": ""Cheshire West and Chester Running"", ""activityType"": ""running"", ""activityId"": 23446541632, ""eventUpdateTimeGmt"": ""2026-07-01T20:07:28""}]",963.0,31500,10,171,25,2244.0,SLEEP_PREPARATION_RECOVERING_AND_INTENSIVE_EXERCISE,2026-07-01T23:00:00.0,100,13.0,3207.0,28.72441,39,2026-07-01,128.825,41.0,10000,SLEEP_TIME_PASSED_RECOVERING_AND_INTENSIVE_EXERCISE,14.08,2026-07-02T00:00:00.0,35.0
1500,1561.0,3726,48.68,94,66,,57,3.0,96.0,STRESSFUL,1561.0,2026-07-03T00:00:00.0,86400,,1,0,13.82,46,3006,7.43,GARMIN,86400000,4620,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE_AND_BB_LOW,LOW,96589030,11,44,11940,60300,88,50,2026-07-02T23:00:00.0,False,33300,2026-07-02,3006,LOW,2026-07-02T00:00:00.0,29.86,14.0,62938,0,96589030,False,True,2026-07-02T21:20:02,25.454,317,92,,2026-07-01T23:00:00.0,6420,25800,4320,96,2305.0,public,47,2026-07-02T22:30:12,11,,SLEEP_PREPARATION_BALANCED_AND_INACTIVE_AND_BB_LOW,61.0,1365,200,38.54,False,9f04abc3acf94db58234b1fd003671ca,50,21780,5.0,2026-07-02T23:00:00.0,21480,7.0,180,15.40092,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-07-02T00:07:28"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 21780000, ""bodyBatteryImpact"": 50, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-02T06:48:45""}]",61.0,42060,10,97,35,2244.0,SLEEP_PREPARATION_BALANCED_AND_INACTIVE,2026-07-02T23:00:00.0,66,16.0,2305.0,8.35105,43,2026-07-02,46.942,21.0,10000,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE,5.35,2026-07-03T00:00:00.0,37.0
1500,1544.0,4154,35.49,91,73,,59,3.0,97.0,BALANCED,1544.0,2026-07-04T00:00:00.0,86220,,1,0,8.7,46,3345,12.39,GARMIN,86400000,5040,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE_AND_BB_LOW,LOW,96589030,11,44,7500,61200,85,57,2026-07-03T23:00:00.0,False,39900,2026-07-03,3345,LOW,2026-07-03T00:00:00.0,25.61,14.0,64717,0,96589030,False,True,2026-07-03T22:19:23,23.644,137,90,,2026-07-02T23:00:00.0,10680,22080,1020,98,2288.0,public,48,2026-07-03T22:30:11,14,,SLEEP_PREPARATION_BALANCED_AND_INACTIVE_AND_BB_LOW,44.0,1566,200,46.28,False,52b514eefd5e4656b7e97b937ecc7931,62,19980,1.18,2026-07-03T23:00:00.0,19980,7.0,180,17.08169,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-07-03T00:18:45"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 19980000, ""bodyBatteryImpact"": 57, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-03T05:59:58""}, {""eventType"": ""RECOVERY"", ""eventStartTimeGmt"": ""2026-07-03T09:35:18"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 7260000, ""bodyBatteryImpact"": -2, ""feedbackType"": ""RECOVERY_LONG_BODY_BATTERY_NOT_INCREASE"", ""shortFeedback"": ""LONG_RESTFUL_PERIOD"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-03T11:41:04""}]",44.0,30600,10,92,28,2244.0,SLEEP_PREPARATION_BALANCED_AND_INACTIVE,2026-07-03T23:00:00.0,73,14.0,2288.0,7.75722,45,2026-07-03,52.065,21.0,10000,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE,5.85,2026-07-04T00:00:00.0,63.0
1500,3054.0,23980,40.97,168,86,,81,3.0,96.0,STRESSFUL,3054.0,2026-07-05T00:00:00.0,86400,173.0,1,111,17.08,44,23195,10.35,GARMIN,86400000,18240,SLEEP_TIME_PASSED_STRESSFUL_AND_INTENSIVE_EXERCISE_AND_BB_LOW,VERY_LOW,96589030,5,45,14760,46200,86,72,2026-07-04T23:00:00.0,False,23820,2026-07-04,23195,VERY_LOW,2026-07-04T00:00:00.0,11.46,17.0,54423,7,96589030,False,True,2026-07-04T19:48:57,215.549,7184,97,,2026-07-03T23:00:00.0,8940,9900,10740,98,3798.0,public,46,2026-07-04T22:13:11,5,,SLEEP_PREPARATION_STRESSFUL_AND_INTENSIVE_EXERCISE_AND_BB_LOW,1554.0,2773,200,27.57,True,2f5e379318334a34903df24bf87a1479,72,22020,12.43,2026-07-04T23:00:00.0,21960,7.0,180,89.62336,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-07-03T23:05:58"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 22020000, ""bodyBatteryImpact"": 72, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-04T05:21:14""}, {""eventType"": ""ACTIVITY"", ""eventStartTimeGmt"": ""2026-07-04T07:44:54"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 6720000, ""bodyBatteryImpact"": -29, ""feedbackType"": ""EXERCISE_TRAINING_EFFECT_4_GOOD_TIMING"", ""shortFeedback"": ""HIGHLY_IMPROVING_LACTATE_THRESHOLD"", ""deviceId"": 3495376439, ""activityName"": ""Cheshire West and Chester - Base"", ""activityType"": ""running"", ""activityId"": 23474013236, ""eventUpdateTimeGmt"": ""2026-07-04T09:37:50""}]",1554.0,35400,10,169,41,2244.0,SLEEP_PREPARATION_STRESSFUL_AND_INTENSIVE_EXERCISE,2026-07-04T23:00:00.0,86,17.0,3798.0,70.71818,42,2026-07-04,273.172,38.0,10000,SLEEP_TIME_PASSED_STRESSFUL_AND_INTENSIVE_EXERCISE,21.11,2026-07-05T00:00:00.0,55.0
1500,1745.0,10843,45.03,103,52,,43,3.0,95.0,STRESSFUL,1745.0,2026-07-05T23:59:00.0,86340,,1,0,11.19,47,8732,14.8,GARMIN,86400000,5880,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE_AND_BB_LOW_MORNING_AND_NOW,LOW,96589030,5,46,9660,55920,86,47,2026-07-05T23:00:00.0,False,28800,2026-07-05,8732,LOW,2026-07-05T00:00:00.0,31.55,15.0,56379,0,96589030,False,True,2026-07-05T19:11:37,15.366,225,96,,2026-07-04T23:00:00.0,12780,27240,1980,94,2489.0,public,49,2026-07-05T22:30:10,10,,SLEEP_PREPARATION_BALANCED_AND_INACTIVE_AND_BB_LOW_MORNING_AND_NOW,245.0,5256,200,33.36,False,a4340f6f15af461cbe9020a0258621c4,48,24540,2.29,2026-07-05T22:59:00.0,24540,7.0,180,22.39272,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-07-04T23:14:50"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 24540000, ""bodyBatteryImpact"": 48, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-05T06:40:21""}]",245.0,38880,10,109,33,2244.0,SLEEP_PREPARATION_BALANCED_AND_INACTIVE,2026-07-05T22:59:00.0,53,14.0,2489.0,5.04134,46,2026-07-05,68.253,20.0,10000,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE,6.81,2026-07-06T00:00:00.0,77.0
1500,1679.0,7906,39.93,104,68,,57,3.0,97.0,BALANCED,1679.0,2026-07-07T00:00:00.0,86400,,1,0,10.14,48,6417,10.9,GARMIN,86400000,6000,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE,MODERATE,96589030,9,46,8760,60660,87,57,2026-07-06T23:00:00.0,False,36480,2026-07-06,6417,LOW,2026-07-06T00:00:00.0,27.01,14.0,62877,0,96589030,False,True,2026-07-06T21:13:30,23.464,237,99,,2026-07-05T23:00:00.0,9420,23340,2400,94,2443.0,public,49,2026-07-06T22:23:32,19,,SLEEP_PREPARATION_BALANCED_AND_INACTIVE_AND_BB_LOW,179.0,3546,200,42.22,False,3065e5b3f5924442b683987ed15de360,66,19740,2.78,2026-07-06T23:00:00.0,19740,7.0,180,27.48064,,,"[{""eventType"": ""SLEEP"", ""eventStartTimeGmt"": ""2026-07-05T23:54:21"", ""timezoneOffset"": 3600000, ""durationInMilliseconds"": 19740000, ""bodyBatteryImpact"": 57, ""feedbackType"": ""NONE"", ""shortFeedback"": ""NONE"", ""deviceId"": 3495376439, ""activityName"": null, ""activityType"": null, ""activityId"": null, ""eventUpdateTimeGmt"": ""2026-07-06T05:26:56""}]",179.0,34500,10,105,30,2264.0,SLEEP_PREPARATION_BALANCED_AND_INACTIVE,2026-07-06T22:57:00.0,68,12.0,2443.0,7.69816,45,2026-07-06,83.761,21.0,10000,SLEEP_TIME_PASSED_BALANCED_AND_INACTIVE,6.94,2026-07-07T00:00:00.0,83.0
