totalDuration,deepPercentage,date,awakeCount,lightPercentage,stress,restlessness,overall,remPercentage
"{'qualifierKey': 'POOR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 13, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 2246.4, 'idealEndInSeconds': 4633.2}",2026-03-26,"{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 66, 'qualifierKey': 'FAIR', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 4212.0, 'idealEndInSeconds': 8985.6}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 52, 'qualifierKey': 'POOR'}","{'value': 21, 'qualifierKey': 'FAIR', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 2948.4, 'idealEndInSeconds': 4352.4}"
"{'qualifierKey': 'FAIR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 18, 'qualifierKey': 'GOOD', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 3926.4, 'idealEndInSeconds': 8098.2}",2026-03-27,"{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 63, 'qualifierKey': 'GOOD', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 7362.0, 'idealEndInSeconds': 15705.6}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 81, 'qualifierKey': 'GOOD'}","{'value': 19, 'qualifierKey': 'FAIR', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5153.4, 'idealEndInSeconds': 7607.4}"
"{'qualifierKey': 'FAIR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 28, 'qualifierKey': 'EXCELLENT', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 3840.0, 'idealEndInSeconds': 7920.0}",2026-03-28,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 42, 'qualifierKey': 'EXCELLENT', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 7200.0, 'idealEndInSeconds': 15360.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 84, 'qualifierKey': 'GOOD'}","{'value': 31, 'qualifierKey': 'GOOD', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5040.0, 'idealEndInSeconds': 7440.0}"
"{'qualifierKey': 'POOR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 9, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 2563.2, 'idealEndInSeconds': 5286.6}",2026-03-29,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 75, 'qualifierKey': 'FAIR', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 4806.0, 'idealEndInSeconds': 10252.8}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 57, 'qualifierKey': 'POOR'}","{'value': 16, 'qualifierKey': 'FAIR', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 3364.2, 'idealEndInSeconds': 4966.2}"
"{'qualifierKey': 'EXCELLENT', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 14, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 4387.2, 'idealEndInSeconds': 9048.6}",2026-03-30,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 63, 'qualifierKey': 'GOOD', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 8226.0, 'idealEndInSeconds': 17548.8}","{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 87, 'qualifierKey': 'GOOD'}","{'value': 23, 'qualifierKey': 'EXCELLENT', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5758.2, 'idealEndInSeconds': 8500.2}"
"{'qualifierKey': 'FAIR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 17, 'qualifierKey': 'GOOD', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 3504.0, 'idealEndInSeconds': 7227.0}",2026-03-31,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 53, 'qualifierKey': 'EXCELLENT', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 6570.0, 'idealEndInSeconds': 14016.0}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 77, 'qualifierKey': 'FAIR'}","{'value': 30, 'qualifierKey': 'GOOD', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 4599.0, 'idealEndInSeconds': 6789.0}"
"{'qualifierKey': 'EXCELLENT', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 13, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 4387.2, 'idealEndInSeconds': 9048.6}",2026-04-01,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 64, 'qualifierKey': 'GOOD', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 8226.0, 'idealEndInSeconds': 17548.8}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 89, 'qualifierKey': 'GOOD'}","{'value': 22, 'qualifierKey': 'GOOD', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5758.2, 'idealEndInSeconds': 8500.2}"
"{'qualifierKey': 'FAIR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 15, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 3849.6, 'idealEndInSeconds': 7939.8}",2026-04-02,"{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 59, 'qualifierKey': 'EXCELLENT', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 7218.0, 'idealEndInSeconds': 15398.4}","{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 77, 'qualifierKey': 'FAIR'}","{'value': 26, 'qualifierKey': 'EXCELLENT', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5052.6, 'idealEndInSeconds': 7458.6}"
"{'qualifierKey': 'EXCELLENT', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 18, 'qualifierKey': 'GOOD', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 4404.64, 'idealEndInSeconds': 9084.57}",2026-04-03,"{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 51, 'qualifierKey': 'EXCELLENT', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 8258.7, 'idealEndInSeconds': 17618.56}","{'qualifierKey': 'EXCELLENT', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 87, 'qualifierKey': 'GOOD'}","{'value': 31, 'qualifierKey': 'GOOD', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 5781.09, 'idealEndInSeconds': 8533.99}"
"{'qualifierKey': 'FAIR', 'optimalStart': 28200.0, 'optimalEnd': 28200.0}","{'value': 7, 'qualifierKey': 'FAIR', 'optimalStart': 16.0, 'optimalEnd': 33.0, 'idealStartInSeconds': 3532.8, 'idealEndInSeconds': 7286.4}",2026-04-04,"{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 1.0}","{'value': 67, 'qualifierKey': 'FAIR', 'optimalStart': 30.0, 'optimalEnd': 64.0, 'idealStartInSeconds': 6624.0, 'idealEndInSeconds': 14131.2}","{'qualifierKey': 'FAIR', 'optimalStart': 0.0, 'optimalEnd': 15.0}","{'qualifierKey': 'GOOD', 'optimalStart': 0.0, 'optimalEnd': 5.0}","{'value': 73, 'qualifierKey': 'FAIR'}","{'value': 26, 'qualifierKey': 'EXCELLENT', 'optimalStart': 21.0, 'optimalEnd': 31.0, 'idealStartInSeconds': 4636.8, 'idealEndInSeconds': 6844.8}"
