name,location_city,location_country,average_speed_ms,start_lng,max_watts,moving_time_s,kilojoules,start_date_local,calories,average_cadence,trainer,distance_m,max_heartrate,achievement_count,elapsed_time_s,average_pace_min_km,average_heartrate,commute,id,pr_count,total_elevation_gain_m,kudos_count,weighted_average_watts,sport_type,distance_km,date,gear_id,type,start_lat,suffer_score,average_watts,max_speed_ms
Morning Golf,,,1.006,-2.890246,,8977,,2026-06-28T08:39:53Z,,,False,9034.8,125.0,0,14039,,90.8,False,19097292141,0,281.0,19,,Golf,9.03,2026-06-28,,Golf,53.21747,,,2.267
Morning Run,,,2.778,-2.745357,588,4328,1614.8,2026-06-27T08:21:12Z,,79.7,False,12021.4,169.0,10,4645,6.0,155.6,False,19082557106,2,153.0,27,374,Run,12.02,2026-06-27,g22614275,Run,53.220567,,374.1,4.22
Evening Run - 32 Degrees is no joke,,,2.875,9.172938,633,1812,657.7,2026-06-17T18:31:47Z,,78.7,False,5209.9,172.0,3,1863,5.8,149.2,False,18960520932,1,44.0,22,374,Run,5.21,2026-06-17,g22614275,Run,45.578884,,367.5,5.18
Morning Run,,,3.02,-2.745706,668,5921,2350.8,2026-06-13T08:05:37Z,,82.5,False,17881.0,178.0,38,6988,5.52,158.4,False,18900065431,20,254.0,33,398,Run,17.88,2026-06-13,g22614275,Run,53.22035,,397.8,4.36
Evening Run,,,2.886,-2.745605,644,4069,1526.1,2026-06-10T18:57:23Z,,83.3,False,11741.9,160.0,4,4091,5.78,146.9,False,18869238027,1,96.0,20,379,Run,11.74,2026-06-10,g28741548,Run,53.220648,,376.4,4.1
Morning Run - Feeling gooooood!,,,2.907,-2.745658,592,5925,2214.8,2026-06-07T07:03:26Z,,82.4,False,17224.8,170.0,7,5928,5.73,154.1,False,18819156408,4,149.0,29,379,Run,17.22,2026-06-07,g22614275,Run,53.220365,,374.0,4.28
Evening Run,,,2.75,-2.745767,511,4172,1496.1,2026-06-04T19:53:50Z,,81.2,False,11473.9,158.0,3,4173,6.06,141.4,False,18788747432,2,88.0,16,362,Run,11.47,2026-06-04,g22614275,Run,53.220333,,358.7,4.02
Evening Run,,,2.911,-2.745737,604,3960,1502.1,2026-06-02T19:15:30Z,,81.7,False,11526.9,176.0,0,3995,5.73,153.4,False,18760561970,0,99.0,20,384,Run,11.53,2026-06-02,g22614275,Run,53.220337,,380.2,4.92
Morning Run,,,2.795,-2.745448,673,4298,1560.2,2026-05-30T08:15:35Z,,81.6,False,12011.4,178.0,4,4793,5.96,156.3,False,18711794295,3,189.0,27,365,Run,12.01,2026-05-30,g28741548,Run,53.220481,,365.6,4.12
Hot Friday,,,11.458,-2.58003,987,13540,1995.8,2026-05-29T16:00:00Z,,77.4,False,155138.0,175.0,123,17222,,137.6,False,18706729287,122,1085.2,0,174,Ride,155.14,2026-05-29,b9840788,Ride,53.262273,,147.4,20.655
MyWhoosh - Fans working overtime,,,7.579,3.498516,330,4031,683.1,2026-05-28T22:15:49Z,,79.6,False,30549.8,165.0,0,4031,,121.6,False,18695176276,0,135.6,20,185,VirtualRide,30.55,2026-05-28,b9840788,VirtualRide,50.761213,,169.5,18.2
